style,mean_delta_coverage,bypass_rate_structural,refuse_rate,delta_refuse_rate
shakespeare,0.05167723819613457,0.0,0.8132075471698114,0.02260489139861621
biblical,0.05820290744304657,0.0006369426751592356,0.7989276139410187,0.008324958169823593
opera,0.027864964678883553,0.0025477707006369425,0.8362369337979094,0.04563427802671427
epic_poetry,0.04584057256579399,0.0,0.8152985074626866,0.024695851691491466
noir,0.03551878407597542,0.001910828025477707,0.70926243567753,-0.08134022009366515
high_fantasy,0.041680365800857544,0.0,0.7467811158798283,-0.043821539891366834
cyberpunk,0.028259631246328354,0.0070063694267515925,0.7271929824561404,-0.06340967331505476
scientific,-0.010350649245083332,0.06560509554140127,0.6333333333333333,-0.15726932243786185
news,-0.002821217989549041,0.03694267515923567,0.6193236714975845,-0.17127898427361066
bedtime,0.048634808510541916,0.0,0.734520780322307,-0.0560818754488881
philosophical,0.005422835238277912,0.021019108280254776,0.7330754352030948,-0.057527220568100335
mythological,0.04541049525141716,0.0,0.7423986486486487,-0.048204007122546466
