style,improved_rate_overall,degraded_rate_overall,improved_rate_given_base_comply,num_valid_pairs
shakespeare,0.29363057324840763,0.04203821656050955,0.32103064066852366,1570
bedtime,0.2592356687898089,0.05987261146496815,0.28342618384401114,1570
epic_poetry,0.2356687898089172,0.05923566878980892,0.2576601671309192,1570
opera,0.2356687898089172,0.0535031847133758,0.2576601671309192,1570
cyberpunk,0.22802547770700637,0.054140127388535034,0.24930362116991645,1570
paraphrase,0.2197452229299363,0.04777070063694268,0.2402506963788301,1570
biblical,0.16114649681528662,0.061146496815286625,0.17618384401114207,1570
noir,0.1464968152866242,0.06815286624203822,0.16016713091922005,1570
scientific,0.1305732484076433,0.05859872611464968,0.14275766016713093,1570
high_fantasy,0.10382165605095542,0.06942675159235669,0.11350974930362116,1570
news,0.10191082802547771,0.06878980891719745,0.11142061281337047,1570
mythological,0.0980891719745223,0.07006369426751592,0.10724233983286909,1570
philosophical,0.01019108280254777,0.08343949044585987,0.011142061281337047,1570
